pkid,method,layers,depth,num_params
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
1,QtoSolver,5,2635,49
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
2,QtoSolver,5,4827,81
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
3,QtoSolver,5,9987,169
