pkid,method,layers,depth,num_params
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
